epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6795,0.94098,1.1225,1.04411,0.7236,0.81942,0.79274,0.63208,0.83577,0.88291,0.96038,0.00037154,0.00037154,0.00037154
2,20.8975,0.88,0.99195,1.04375,0.8493,0.85508,0.91945,0.66518,0.82169,0.78246,0.95665,0.000735947,0.000735947,0.000735947
3,30.7724,0.84332,0.89103,1.01715,0.90619,0.89342,0.94804,0.70261,0.80231,0.78072,0.93903,0.00107853,0.00107853,0.00107853
4,40.1033,0.85755,0.86071,1.01515,0.92648,0.89716,0.95402,0.70463,0.77538,0.79589,0.94999,0.00130774,0.00130774,0.00130774
5,49.349,0.8306,0.80384,1.00705,0.93712,0.93086,0.97129,0.71429,0.74001,0.66358,0.92875,0.00126732,0.00126732,0.00126732
6,59.2728,0.80805,0.73744,0.98381,0.95813,0.93206,0.97419,0.72548,0.75185,0.63667,0.92512,0.0012269,0.0012269,0.0012269
7,69.1343,0.7803,0.71739,0.99123,0.95621,0.93777,0.98553,0.74079,0.72341,0.59199,0.90464,0.00118648,0.00118648,0.00118648
8,79.0879,0.75102,0.67716,0.96326,0.95576,0.95846,0.9876,0.75055,0.66207,0.57526,0.89076,0.00114606,0.00114606,0.00114606
9,88.5674,0.74178,0.66936,0.95971,0.95475,0.96443,0.98778,0.75509,0.6522,0.56648,0.88217,0.00110564,0.00110564,0.00110564
10,97.9551,0.74,0.66324,0.96512,0.9622,0.97303,0.98816,0.75666,0.64521,0.55394,0.87769,0.00106522,0.00106522,0.00106522
11,108.59,0.72104,0.62629,0.9456,0.9735,0.97634,0.99111,0.783,0.64614,0.52943,0.86783,0.0010248,0.0010248,0.0010248
12,117.769,0.68415,0.58286,0.92474,0.97519,0.97747,0.99131,0.78556,0.62659,0.5155,0.86676,0.000984377,0.000984377,0.000984377
13,126.715,0.6771,0.57377,0.92928,0.97325,0.98321,0.9923,0.79224,0.62681,0.50309,0.86274,0.000943957,0.000943957,0.000943957
14,135.842,0.69255,0.58547,0.92512,0.9653,0.98385,0.99267,0.78112,0.6323,0.48235,0.85942,0.000903536,0.000903536,0.000903536
15,145.329,0.68689,0.5786,0.92532,0.98219,0.98061,0.99325,0.78448,0.61565,0.4668,0.85436,0.000863116,0.000863116,0.000863116
16,155.88,0.66805,0.57407,0.92884,0.97922,0.99137,0.99419,0.80113,0.59365,0.47153,0.85115,0.000822696,0.000822696,0.000822696
17,165.849,0.66605,0.56032,0.92795,0.98275,0.981,0.99455,0.80344,0.57548,0.47797,0.8495,0.000782275,0.000782275,0.000782275
18,174.75,0.68016,0.54653,0.92026,0.97569,0.98671,0.99387,0.79854,0.60793,0.48215,0.85007,0.000741855,0.000741855,0.000741855
19,184.338,0.65882,0.54502,0.91784,0.97047,0.98345,0.9931,0.80355,0.60129,0.48127,0.84872,0.000701435,0.000701435,0.000701435
20,193.67,0.65045,0.5458,0.91587,0.97939,0.98385,0.99368,0.80951,0.58118,0.45083,0.84423,0.000661015,0.000661015,0.000661015
21,203.942,0.62018,0.50617,0.90232,0.98524,0.98227,0.99369,0.80435,0.56729,0.43908,0.84467,0.000620594,0.000620594,0.000620594
22,213.898,0.63451,0.50813,0.91644,0.98852,0.97926,0.99395,0.80834,0.5741,0.43916,0.84643,0.000580174,0.000580174,0.000580174
23,224.33,0.61813,0.49539,0.91038,0.98714,0.98886,0.99443,0.80697,0.59894,0.44836,0.84376,0.000539754,0.000539754,0.000539754
24,233.289,0.6206,0.4993,0.89734,0.9881,0.99045,0.99449,0.80886,0.58148,0.44065,0.84074,0.000499333,0.000499333,0.000499333
25,243.387,0.62694,0.50941,0.89923,0.9829,0.99227,0.99452,0.8035,0.58154,0.43621,0.84333,0.000458913,0.000458913,0.000458913
26,253.947,0.62186,0.57056,0.90198,0.98848,0.97953,0.99415,0.807,0.58782,0.43227,0.84155,0.000418493,0.000418493,0.000418493
27,263.501,0.59117,0.51227,0.89343,0.99155,0.97849,0.99413,0.80199,0.58724,0.43884,0.84084,0.000378073,0.000378073,0.000378073
28,271.967,0.60166,0.51008,0.91791,0.99101,0.9794,0.99416,0.80801,0.58141,0.43923,0.83969,0.000337652,0.000337652,0.000337652
29,280.791,0.57947,0.48944,0.89133,0.99328,0.97885,0.99407,0.81629,0.58236,0.43895,0.84019,0.000297232,0.000297232,0.000297232
30,289.494,0.57698,0.4783,0.89196,0.99425,0.97864,0.99431,0.81427,0.59129,0.43414,0.84146,0.000256812,0.000256812,0.000256812
31,298.295,0.55862,0.46117,0.89088,0.99444,0.97823,0.99437,0.80989,0.59215,0.43798,0.84208,0.000216391,0.000216391,0.000216391
32,306.194,0.57074,0.46354,0.88619,0.98393,0.99288,0.99452,0.80166,0.59017,0.43305,0.84255,0.000175971,0.000175971,0.000175971
33,315.05,0.56513,0.45331,0.88354,0.98235,0.99297,0.99452,0.80404,0.57956,0.42675,0.84052,0.000135551,0.000135551,0.000135551
34,323.588,0.57327,0.45774,0.89718,0.97839,0.99645,0.99452,0.80732,0.57655,0.42221,0.83876,9.51306e-05,9.51306e-05,9.51306e-05
35,332.084,0.57241,0.45412,0.893,0.97862,0.99618,0.99452,0.8078,0.57565,0.42208,0.83761,5.47103e-05,5.47103e-05,5.47103e-05
