epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5947,0.5959,0.50327,0.89707,0.99705,0.99394,0.99481,0.84175,0.51143,0.40306,0.81528,0.000464425,0.000464425,0.000464425
2,37.499,0.59631,0.4985,0.9075,0.98291,0.99047,0.99405,0.82042,0.52815,0.4174,0.82514,0.000917475,0.000917475,0.000917475
3,54.119,0.60115,0.49756,0.9072,0.9928,0.99151,0.99346,0.83815,0.54361,0.41326,0.82681,0.00134695,0.00134695,0.00134695
4,70.6342,0.62464,0.5143,0.92118,0.99378,0.99186,0.99368,0.81798,0.54895,0.4158,0.83208,0.0013229,0.0013229,0.0013229
5,87.8893,0.58446,0.48318,0.90851,0.98889,0.9918,0.9939,0.83436,0.51451,0.38556,0.82132,0.00128753,0.00128753,0.00128753
6,104.895,0.58628,0.47318,0.89947,0.99495,0.99153,0.99405,0.83123,0.5438,0.39019,0.82141,0.00125216,0.00125216,0.00125216
7,121.631,0.59455,0.47187,0.90071,0.99525,0.99636,0.99444,0.85126,0.50963,0.38727,0.81812,0.00121679,0.00121679,0.00121679
8,139.021,0.57935,0.46195,0.89308,0.99504,0.99757,0.99466,0.8416,0.5171,0.38933,0.82222,0.00118143,0.00118143,0.00118143
9,156.449,0.53555,0.43699,0.89071,0.9973,0.99591,0.9949,0.85014,0.51035,0.36262,0.81632,0.00114606,0.00114606,0.00114606
10,174.217,0.58263,0.45968,0.89556,0.99703,0.99274,0.99472,0.84109,0.5175,0.36225,0.8175,0.00111069,0.00111069,0.00111069
11,190.793,0.57424,0.44797,0.8966,0.99422,0.99553,0.99469,0.84332,0.50449,0.3534,0.8156,0.00107532,0.00107532,0.00107532
12,208.386,0.55809,0.42191,0.8904,0.995,0.99384,0.99477,0.84491,0.51278,0.35511,0.81767,0.00103995,0.00103995,0.00103995
13,225.05,0.55796,0.42644,0.88887,0.99141,0.99503,0.99493,0.84558,0.51507,0.34874,0.81685,0.00100459,0.00100459,0.00100459
14,241.788,0.54269,0.42086,0.88904,0.99629,0.99581,0.99481,0.84451,0.50473,0.34991,0.81371,0.000969219,0.000969219,0.000969219
15,257.836,0.53105,0.40355,0.88078,0.99684,0.99562,0.99469,0.84063,0.49921,0.34837,0.80943,0.000933851,0.000933851,0.000933851
16,274.687,0.5267,0.39864,0.88461,0.99388,0.99595,0.99471,0.8478,0.49569,0.34279,0.81046,0.000898484,0.000898484,0.000898484
17,291.787,0.53184,0.39408,0.87729,0.9921,0.99497,0.99471,0.85034,0.50687,0.339,0.81146,0.000863116,0.000863116,0.000863116
18,308.227,0.51266,0.39043,0.87619,0.99322,0.99733,0.99478,0.84931,0.49573,0.32689,0.81208,0.000827748,0.000827748,0.000827748
19,324.931,0.51757,0.38435,0.88605,0.99665,0.99526,0.99488,0.84574,0.49045,0.32503,0.8108,0.00079238,0.00079238,0.00079238
20,341.808,0.50931,0.37636,0.88371,0.99656,0.99499,0.99485,0.85194,0.49139,0.32214,0.80911,0.000757013,0.000757013,0.000757013
21,358.937,0.52129,0.37917,0.87437,0.99616,0.99578,0.99468,0.85329,0.50402,0.31962,0.81211,0.000721645,0.000721645,0.000721645
22,375.531,0.51763,0.37806,0.88282,0.99672,0.99526,0.99471,0.8505,0.49533,0.31476,0.81316,0.000686277,0.000686277,0.000686277
23,392.616,0.52165,0.37443,0.8814,0.99679,0.99456,0.99473,0.85467,0.49204,0.31186,0.81023,0.000650909,0.000650909,0.000650909
24,409.121,0.51257,0.37076,0.87794,0.99777,0.99455,0.99471,0.85483,0.48746,0.31212,0.81005,0.000615542,0.000615542,0.000615542
25,425.932,0.49437,0.35372,0.88054,0.99749,0.996,0.99465,0.8556,0.49304,0.30848,0.81248,0.000580174,0.000580174,0.000580174
26,443.352,0.51546,0.36578,0.88165,0.9983,0.99646,0.99446,0.85246,0.48808,0.31014,0.80864,0.000544806,0.000544806,0.000544806
27,459.911,0.50055,0.36033,0.86984,0.99756,0.99619,0.994,0.84208,0.50776,0.31275,0.81271,0.000509438,0.000509438,0.000509438
28,476.527,0.52232,0.37298,0.87668,0.99613,0.99576,0.99374,0.84667,0.50387,0.3132,0.8111,0.000474071,0.000474071,0.000474071
29,493.505,0.50296,0.35956,0.86568,0.99824,0.99581,0.99404,0.84771,0.50261,0.30313,0.81091,0.000438703,0.000438703,0.000438703
30,510.227,0.50972,0.3615,0.87989,0.99833,0.99531,0.99412,0.85254,0.4891,0.29776,0.81108,0.000403335,0.000403335,0.000403335
31,528.012,0.48503,0.35527,0.86227,0.99365,0.99285,0.99431,0.85328,0.48941,0.30036,0.8079,0.000367967,0.000367967,0.000367967
32,543.75,0.47482,0.34767,0.85795,0.99254,0.99363,0.99436,0.85253,0.49232,0.30565,0.80876,0.0003326,0.0003326,0.0003326
33,558.907,0.47224,0.33315,0.85583,0.99421,0.99405,0.99432,0.85346,0.4886,0.30502,0.80753,0.000297232,0.000297232,0.000297232
34,574.81,0.4668,0.32728,0.85612,0.99327,0.99372,0.99418,0.85155,0.48739,0.30504,0.80731,0.000261864,0.000261864,0.000261864
35,589.902,0.45083,0.31788,0.85666,0.9938,0.99308,0.99436,0.85548,0.48288,0.29884,0.804,0.000226497,0.000226497,0.000226497
36,606.139,0.45918,0.32076,0.85307,0.99413,0.99292,0.99439,0.8541,0.4818,0.29815,0.80392,0.000191129,0.000191129,0.000191129
37,622.331,0.4603,0.32612,0.84636,0.99429,0.99285,0.99438,0.85026,0.48588,0.29878,0.80565,0.000155761,0.000155761,0.000155761
38,637.737,0.45655,0.31977,0.85817,0.99341,0.99465,0.99437,0.85232,0.48756,0.2964,0.80593,0.000120393,0.000120393,0.000120393
39,652.838,0.45546,0.31585,0.85749,0.99466,0.99462,0.9945,0.85254,0.48024,0.29474,0.80467,8.50255e-05,8.50255e-05,8.50255e-05
40,669.548,0.45153,0.31462,0.86294,0.99461,0.99425,0.99455,0.85507,0.47715,0.29172,0.80456,4.96578e-05,4.96578e-05,4.96578e-05
