epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9396,0.47088,0.29665,0.8745,0.99108,0.9954,0.99388,0.86704,0.43838,0.24261,0.82133,0.000470729,0.000470729,0.000470729
2,58.7828,0.49277,0.30892,0.87777,0.99517,0.9945,0.99437,0.88046,0.42633,0.24331,0.81743,0.000926227,0.000926227,0.000926227
3,87.6761,0.49973,0.31554,0.88154,0.99405,0.99442,0.99379,0.8756,0.43632,0.24895,0.81984,0.00136077,0.00136077,0.00136077
4,115.202,0.4845,0.31114,0.87533,0.99347,0.99481,0.99385,0.8747,0.42442,0.24572,0.81745,0.00133469,0.00133469,0.00133469
5,144.546,0.48703,0.30811,0.87365,0.99391,0.99541,0.9938,0.87687,0.42714,0.24427,0.81768,0.00130325,0.00130325,0.00130325
6,172.057,0.49096,0.31283,0.87384,0.99254,0.99627,0.99412,0.86807,0.43738,0.25266,0.82084,0.00127181,0.00127181,0.00127181
7,199.956,0.48413,0.30807,0.88112,0.9957,0.99486,0.9942,0.87268,0.43361,0.24724,0.8222,0.00124037,0.00124037,0.00124037
8,228.666,0.47477,0.30377,0.87134,0.99536,0.99686,0.99405,0.87834,0.43234,0.25362,0.82,0.00120893,0.00120893,0.00120893
9,256.946,0.47933,0.30732,0.87526,0.996,0.99447,0.994,0.87678,0.42995,0.24215,0.82033,0.0011775,0.0011775,0.0011775
10,284.789,0.48068,0.30259,0.87924,0.99687,0.99508,0.99398,0.87374,0.42886,0.24086,0.81859,0.00114606,0.00114606,0.00114606
11,314.034,0.47706,0.30604,0.87455,0.99522,0.99465,0.99405,0.88027,0.42281,0.24231,0.81705,0.00111462,0.00111462,0.00111462
12,343.336,0.47401,0.29722,0.88106,0.99543,0.99533,0.99389,0.88053,0.41785,0.23761,0.81489,0.00108318,0.00108318,0.00108318
13,371.076,0.48545,0.30695,0.87799,0.9961,0.99745,0.99403,0.87377,0.43929,0.24823,0.82564,0.00105174,0.00105174,0.00105174
14,399.886,0.4771,0.29809,0.87704,0.99448,0.99561,0.99396,0.87441,0.43199,0.24211,0.8214,0.00102031,0.00102031,0.00102031
15,427.391,0.47474,0.29804,0.87428,0.9949,0.9958,0.99377,0.8777,0.42691,0.23652,0.82158,0.000988868,0.000988868,0.000988868
16,455.889,0.46631,0.29305,0.87352,0.99564,0.99574,0.99384,0.87847,0.41881,0.22952,0.81783,0.00095743,0.00095743,0.00095743
17,486.068,0.46509,0.29166,0.87061,0.99447,0.99405,0.99394,0.87627,0.42463,0.23528,0.81553,0.000925992,0.000925992,0.000925992
18,514.749,0.47121,0.29946,0.87855,0.99431,0.99405,0.99354,0.87298,0.42235,0.23025,0.81812,0.000894554,0.000894554,0.000894554
19,542.336,0.46634,0.29686,0.8757,0.99535,0.99363,0.99384,0.88168,0.42368,0.23432,0.81566,0.000863116,0.000863116,0.000863116
20,570.8,0.47051,0.2948,0.87097,0.99418,0.99314,0.99362,0.88194,0.41651,0.23432,0.81659,0.000831678,0.000831678,0.000831678
21,599.935,0.47293,0.2962,0.86913,0.99374,0.99442,0.99376,0.87981,0.41858,0.23109,0.81812,0.00080024,0.00080024,0.00080024
22,628.686,0.47587,0.29965,0.87979,0.99584,0.99528,0.99412,0.8792,0.42992,0.2314,0.81964,0.000768802,0.000768802,0.000768802
23,656.39,0.45933,0.28413,0.87235,0.99631,0.99519,0.99409,0.87781,0.42283,0.22842,0.81777,0.000737364,0.000737364,0.000737364
24,684.832,0.46749,0.28742,0.87718,0.99647,0.9958,0.9941,0.88178,0.41569,0.22822,0.815,0.000705926,0.000705926,0.000705926
25,714.037,0.45747,0.27972,0.86463,0.99692,0.99536,0.99407,0.88271,0.41072,0.22346,0.81421,0.000674488,0.000674488,0.000674488
26,741.983,0.45433,0.28331,0.87182,0.99649,0.99694,0.99402,0.8804,0.41577,0.22464,0.81706,0.00064305,0.00064305,0.00064305
27,769.766,0.45132,0.27748,0.86599,0.99534,0.9972,0.99388,0.88056,0.41475,0.2235,0.81487,0.000611612,0.000611612,0.000611612
28,797.703,0.45224,0.28036,0.8707,0.99554,0.99649,0.99388,0.87878,0.41442,0.22316,0.8151,0.000580174,0.000580174,0.000580174
29,826.673,0.4546,0.2809,0.86986,0.99613,0.9972,0.99412,0.88253,0.41405,0.22136,0.81392,0.000548736,0.000548736,0.000548736
