id,numero_original,curso,tema,libro_codigo,codigo_instancia,archivo_origen,muestra
7352,1,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,\item[\textbf{1.}] Halle el término independiente de “x” en el desarrollo de $( x^{9} - \frac{1}{x} )^{100}$ .£A)$\binom{100}{90}$æB)$\binom{100}{94}$æC)$\binom{100}{95}$£D)$\binom{100}{98}$ææE)$\binom{100}{92}$£
7353,2,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,"\item[\textbf{2.}] Si el cuarto término del desarrollo del binomio $( x^{4} + x^{-3} )^{n}$ es de la forma $\alpha x^{24-n^{2}}$ , halle el valor numérico del tercer término cuando $x = \dfrac{\sqrt{3}}{2}$ .£A)$30$æB)$40$æC)$60$£D)$50$ææE)$20$£"
7354,3,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,\item[\textbf{3.}] Halle el coeficiente de $x^{5}$ en el desarrollo de $(1-2x+3x^{2})^{5}$ .£A)$-1042$æB)$-1020$æC)$-1052$£D)$-1062$ææE)$-1032$£
7355,4,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,"\item[\textbf{4.}] Para algunos activos (como las máquinas), cuyos valores de mercado caen rápidamente en los primeros años de uso, y después, más lentamente, con frecuencia se utiliza un método de depreciación llamado método de doble saldo creciente. El valor en libros de un tractor adquirido a $C$ dólares se amortizará por este método durante “ $x$ ” años y el valor en libros al final de “ $n$ ” años está dado por $V(n) = C \bigg( 1 - \frac{2}{x} \bigg)^{n}$ . Si $D(n)$ representa el monto (en"
7356,5,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,"\item[\textbf{5.}] La expresión $\dfrac{x^{20a+35} + y^{-57+20a}}{x^{a+1} + y^{a-3}}$ es un cociente notable y “n” representa el número de términos de su desarrollo, halle el valor de $n - 2a$ .£A)$15$æB)$17$æC)$18$£D)$19$ææE)$14$£"
7357,6,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,"\item[\textbf{6.}] Si $x^u y^{u-1}$ es el quinto término del cociente notable $\frac{x^a - y^{b+2}}{x^5 - y^{11}}$ , halle el grado absoluto de uno de los términos centrales.£A)$113$æB)$120$æC)$114$£D)$107$ææE)$106$£"
7358,7,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,"\item[\textbf{7.}] Halle el número de términos que tendrá el siguiente producto: $( x^{34n} + x^{33n} + x^{32n} + \cdots + x^{n} + 1 ) ( x^{34n} - x^{33n} + x^{32n} - \cdots - x^{n} + 1 )$ , donde $n \in \mathbb{Z}^{+}$ .£A)$35$æB)$70$æC)$50$£D)$45$ææE)$80$£"
7359,8,SIN_CURSO,SIN_TEMA,cepre-sm-del-2018-ii-al-2020-i,s8_binomio_de_newton,E:\Banco de Preguntas\1. ALGEBRA\7. Editorial_Manhattan\Editores_Manhattan.pdf,\item[\textbf{8.}] Halle la suma de coeficientes del resto de la siguiente división: $\dfrac{x^{37} + x^{13} + x + 1}{x^5 + x^4 + x^3 + x^2 + x + 1}.$£A)$4$æB)$2$æC)$3$£D)$5$ææE)$6$£
8709,17,SIN_CURSO,SIN_TEMA,impecus-jose-meza-barcena-construcciones-en-la-circunferencia,problemas_resueltos,CONSTRUCCIONES EN LA CIRCUNFERENCIA.pdf,\item[\textbf{17.}] Calcular $x$. £A)$10^\circ$æB)$12^\circ$æC)$15^\circ$£D)$18^\circ$ææE)$20^\circ$£
8710,18,SIN_CURSO,SIN_TEMA,impecus-jose-meza-barcena-construcciones-en-la-circunferencia,problemas_resueltos,CONSTRUCCIONES EN LA CIRCUNFERENCIA.pdf,\item[\textbf{18.}] Calcular $x$. £A)$30^\circ-\alpha$æB)$60^\circ-\alpha$æC)$30^\circ$£D)$2\alpha$ææE)$30^\circ+\alpha$£
8711,19,SIN_CURSO,SIN_TEMA,impecus-jose-meza-barcena-construcciones-en-la-circunferencia,problemas_resueltos,CONSTRUCCIONES EN LA CIRCUNFERENCIA.pdf,\item[\textbf{19.}] Calcular $\alpha$. £A)$15^\circ$æB)$18^\circ$æC)$20^\circ$£D)$22^\circ30'$ææE)$26^\circ30'$£
