id,curso_actual,tema_actual,curso_canonico,tema_canonico,tema_id,cambia
204,Trigonometria,Angulo Trigonometrico,Trigonometria,Angulo Trigonometrico,65,True
205,Trigonometria,Angulo Trigonometrico,Trigonometria,Angulo Trigonometrico,65,True
206,Trigonometria,Angulo Trigonometrico,Trigonometria,Angulo Trigonometrico,65,True
207,Trigonometria,Angulo Trigonometrico,Trigonometria,Angulo Trigonometrico,65,True
208,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
209,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
210,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
211,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
212,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
213,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
214,Trigonometria,Angulo Trigonometrico,Trigonometria,Angulo Trigonometrico,65,True
215,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
216,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
217,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
218,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
219,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
220,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
221,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
222,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
223,Trigonometria,Sistemas de Medidas Angulares,Trigonometria,Sistemas de Medidas Angulares,83,True
224,Trigonometria,Angulo Trigonometrico,Trigonometria,Angulo Trigonometrico,65,True
