curso_actual,tema_actual,curso_final,tema_final,afectados
Algebra,Teoria de Exponentes,Algebra,Teoria de Exponentes,366
Geometria,Puntos Notables,Geometria,Puntos Notables,30
Geometria,puntos notables,Geometria,Puntos Notables,30
Geometria,semana_2,Geometria,Lineas Notables,6
Geometria,acut?ngulo,Geometria,Clasificacion de Triangulos,0
Geometria,acut?ngulo,Geometria,Clasificacion de Triangulos,0
Geometria,is?sceles,Geometria,Clasificacion de Triangulos,0
geometria,is?sceles,Geometria,Clasificacion de Triangulos,0
Geometria,recto,Geometria,Clasificacion de Triangulos,0
geometria,recto,Geometria,Clasificacion de Triangulos,1
Geometria,SIN_TEMA + areas-de-regiones-planas/resueltos,Geometria,Areas de Regiones,298
